filename,abs_angle,augmented,actual_words,detected_words,error
page4_angle_-20.jpg,20,No,125,125,0
page4_angle_-20_aug1.jpg,20,Yes,125,125,0
page4_angle_20.jpg,20,No,125,128,3
page5_angle_-20.jpg,20,No,122,119,3
page5_angle_-20_aug2.jpg,20,Yes,122,118,4
page5_angle_-20_aug3.jpg,20,Yes,122,117,5
page5_angle_20.jpg,20,No,122,116,6
page5_angle_20_aug1.jpg,20,Yes,122,118,4
page6_angle_-20.jpg,20,No,126,130,4
page6_angle_-20_aug1.jpg,20,Yes,126,131,5
page6_angle_-20_aug2.jpg,20,Yes,126,127,1
page6_angle_-20_aug3.jpg,20,Yes,126,127,1
page6_angle_20.jpg,20,No,126,126,0
page6_angle_20_aug1.jpg,20,Yes,126,128,2
page6_angle_20_aug3.jpg,20,Yes,126,134,8
page7_angle_-20.jpg,20,No,122,111,11
page7_angle_-20_aug1.jpg,20,Yes,122,111,11
page7_angle_-20_aug2.jpg,20,Yes,122,108,14
page7_angle_20.jpg,20,No,122,109,13
page7_angle_20_aug1.jpg,20,Yes,122,109,13
page7_angle_20_aug2.jpg,20,Yes,122,111,11
page7_angle_20_aug3.jpg,20,Yes,122,106,16
page8_angle_-20.jpg,20,No,121,113,8
page8_angle_-20_aug3.jpg,20,Yes,121,113,8
page8_angle_20.jpg,20,No,121,115,6
page8_angle_20_aug2.jpg,20,Yes,121,117,4
page8_angle_20_aug3.jpg,20,Yes,121,114,7
page9_angle_-20.jpg,20,No,121,106,15
page9_angle_-20_aug2.jpg,20,Yes,121,113,8
page9_angle_-20_aug3.jpg,20,Yes,121,112,9
page9_angle_20.jpg,20,No,121,108,13
page9_angle_20_aug2.jpg,20,Yes,121,111,10
page10_angle_-25.jpg,25,No,121,114,7
page10_angle_-25_aug2.jpg,25,Yes,121,115,6
page10_angle_-25_aug3.jpg,25,Yes,121,115,6
page10_angle_25.jpg,25,No,121,114,7
page10_angle_25_aug1.jpg,25,Yes,121,114,7
page10_angle_25_aug3.jpg,25,Yes,121,113,8
page11_angle_-25.jpg,25,No,124,120,4
page11_angle_-25_aug2.jpg,25,Yes,124,119,5
page11_angle_25.jpg,25,No,124,122,2
page1_angle_-25.jpg,25,No,124,130,6
page1_angle_-25_aug1.jpg,25,Yes,124,129,5
page1_angle_25.jpg,25,No,124,128,4
page2_angle_-25.jpg,25,No,124,120,4
page2_angle_-25_aug1.jpg,25,Yes,124,119,5
page2_angle_-25_aug2.jpg,25,Yes,124,118,6
page2_angle_25.jpg,25,No,124,118,6
page2_angle_25_aug2.jpg,25,Yes,124,118,6
page3_angle_-25.jpg,25,No,126,127,1
page3_angle_-25_aug2.jpg,25,Yes,126,128,2
page3_angle_-25_aug3.jpg,25,Yes,126,136,10
page3_angle_25.jpg,25,No,126,130,4
page3_angle_25_aug2.jpg,25,Yes,126,129,3
page3_angle_25_aug3.jpg,25,Yes,126,129,3
page4_angle_-25.jpg,25,No,125,125,0
page4_angle_-25_aug2.jpg,25,Yes,125,134,9
page4_angle_25.jpg,25,No,125,129,4
